sample_id,tepname,Temperature,tepvalue
1,kappa,497.295636140135,1.63133476140426
1,kappa,523.847572218807,1.51585195098976
1,kappa,547.449293177627,1.42478833515782
1,kappa,573.632452366318,1.33149623767561
1,kappa,597.602950215119,1.2559638024025
1,kappa,623.417332513829,1.19151922258631
1,kappa,647.756607252612,1.12929903296079
1,kappa,673.570989551321,1.0803869975233
1,kappa,697.541487400122,1.03591965100758
1,kappa,723.355869698832,0.998102290126307
1,kappa,773.509526736324,0.951319177489334
1,kappa,823.294406883835,0.942259322163345
1,ZT,298.917016488164,0.0972243060765192
1,ZT,320.539443371481,0.141785446361591
1,ZT,344.64573590206,0.178244561140285
1,ZT,370.162221406415,0.256564141035259
1,ZT,394.265587673514,0.30787696924231
1,ZT,420.483578341393,0.425356339084772
1,ZT,444.227280224311,0.502325581395349
1,ZT,470.440748484993,0.642760690172543
1,ZT,494.182322176288,0.730532633158289
1,ZT,520.047033034854,0.841260315078769
1,ZT,544.135501960596,0.968192048012003
1,ZT,570.363601538682,1.03435858964741
1,ZT,593.738594223023,1.18289572393098
1,ZT,619.616340255276,1.22745686421605
1,ZT,642.999047634249,1.33683420855213
1,ZT,668.515799162556,1.41380345086271
1,ZT,692.25152032689,1.53128282070517
1,ZT,716.711890738642,1.57044261065266
1,ZT,740.813660862024,1.62985746436609
1,ZT,765.2716370582,1.68117029257314
1,ZT,813.849206982596,1.70142535633908
1,ZT,862.789367554654,1.68117029257314
4,alpha,300.0,9.34518e-05
4,alpha,350.0,0.000104928
4,alpha,400.0,0.0001160079999999
4,alpha,450.0,0.000126694
4,alpha,500.0,0.000136984
4,alpha,550.0,0.000148064
4,alpha,600.0,0.000159145
4,alpha,650.0,0.000169436
4,alpha,700.0,0.0001793309999999
4,alpha,750.0,0.000187647
4,alpha,800.0,0.0001951729999999
4,alpha,850.0,0.000202699
4,alpha,900.0,0.0002102249999999
4,alpha,950.0,0.000216961
4,alpha,1000.0,0.000222512
4,alpha,1050.0,0.0002292479999999
4,alpha,1100.0,0.000235589
4,alpha,1150.0,0.000240745
4,alpha,1200.0,0.000245902
4,rho,300.0,1.6985484205198235e-06
4,rho,350.0,1.976847165991903e-06
4,rho,400.0,2.3092554960280804e-06
4,rho,450.0,2.691464021854688e-06
4,rho,500.0,3.1239066326785625e-06
4,rho,550.0,3.5714285714285718e-06
4,rho,600.0,4.1040962985155484e-06
4,rho,650.0,4.681428772061233e-06
4,rho,700.0,5.198396814422432e-06
4,rho,750.0,5.88713190707751e-06
4,rho,800.0,6.455444521909779e-06
4,rho,850.0,7.145204853023136e-06
4,rho,900.0,7.842399146746973e-06
4,rho,950.0,8.503979862575686e-06
4,rho,1000.0,9.180713157798098e-06
4,rho,1050.0,9.850858009732648e-06
4,rho,1100.0,1.0485367669417329e-05
4,rho,1150.0,1.120802315129262e-05
4,rho,1200.0,1.1858105904743836e-05
4,kappa,300.0,8.33279
4,kappa,350.0,7.62806
4,kappa,400.0,7.07993
4,kappa,450.0,6.61011
4,kappa,500.0,6.1925
4,kappa,550.0,5.93148
4,kappa,600.0,5.61827
4,kappa,650.0,5.40946
4,kappa,700.0,5.17455
4,kappa,750.0,4.99184
4,kappa,800.0,4.86134
4,kappa,850.0,4.70473
4,kappa,900.0,4.60033
4,kappa,950.0,4.46982
4,kappa,1000.0,4.39152
4,kappa,1050.0,4.33931
4,kappa,1100.0,4.26101
4,kappa,1150.0,4.18271
4,kappa,1200.0,4.20881
4,ZT,300.0,0.192642
4,ZT,350.0,0.260608
4,ZT,400.0,0.336711
4,ZT,450.0,0.418228
4,ZT,500.0,0.497044
4,ZT,550.0,0.589415
4,ZT,600.0,0.673656
4,ZT,650.0,0.757893
4,ZT,700.0,0.844842
4,ZT,750.0,0.918233
4,ZT,800.0,0.988908
4,ZT,850.0,1.06229
4,ZT,900.0,1.12483
4,ZT,950.0,1.19279
