dbname,dbversion,dbpubname,sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,"mat_dimension(bulk, film, 1D, 2D)",GROUP,BASEMAT,Composition_by_element,Composition_detailed,SINTERING
tematdb,v1.1.6,teMatDb272,374,2017.0,https://doi.org/10.1039/c7ee01193h,10.1039/c7ee01193h,Figure 5(b),1 mol% In,Cu2Se + 1 mol% In,,Cu2Q,Cu2Se,CuSeIn,Cu2Se + 1 mol% In,
tematdb,v1.1.6,teMatDb272,375,2017.0,https://doi.org/10.1039/c7ee01871a,10.1039/c7ee01871a,Figure 1(b),PbTe0.998I0.002-3%Sb,,,PbTe,PbTe,PbTeISb,PbTe0.998I0.002 + 3% Sb composite,
tematdb,v1.1.6,teMatDb272,376,2017.0,https://doi.org/10.1039/c7ee02530k,10.1039/c7ee02530k,Figure 3,Sn0.97Bi0.03Te–3% PbTe,Sn0.97Bi0.03Te–3% PbTe,,Telluride,SnTe,SnBiTePb,Sn0.97Bi0.03Te + 3% PbTe,
tematdb,v1.1.6,teMatDb272,377,2017.0,https://doi.org/10.1039/c7ee02677c,10.1039/c7ee02677c,Figure 14,x = 0.4,Bi0.4Sb1.6Te3,,Bi2Te3,Bi2Te3,BiSbTe,Bi0.4Sb1.6Te3,
tematdb,v1.1.6,teMatDb272,378,2018.0,https://doi.org/10.1039/c8ee00112j,10.1039/c8ee00112j,Figure 5(a),x = 0.0035,In0.0035Pb0.9965Te0.996I0.004,,PbTe,PbTe,InPbTeI,In0.0035Pb0.9965Te0.996I0.004,
tematdb,v1.1.6,teMatDb272,379,2018.0,https://doi.org/10.1039/c8ee00290h,10.1039/c8ee00290h,Figure 17,,Zn0.015Bi0.46Sb1.54Te3.015,,Bi2Te3,Bi2Te3,ZnBiSbTe,Zn0.015Bi0.46Sb1.54Te3.015,
tematdb,v1.1.6,teMatDb272,380,2018.0,https://doi.org/10.1039/c8ee01151f,10.1039/c8ee01151f,Figure 8(c) ,x=4,PbTe + 4% MnTe,,PbTe,PbTe,PbTeMn,PbTe + 4% MnTe,
tematdb,v1.1.6,teMatDb272,382,2019.0,https://doi.org/10.1039/c8ee03162b,10.1039/c8ee03162b,Figure 6,Sn0.57Sb0.13Ge0.3Te SPS,Sn0.57Sb0.13Ge0.3Te SPS,,Telluride,SnTe,SnSbGeTe,Sn0.57Sb0.13Ge0.3Te,
tematdb,v1.1.6,teMatDb272,383,2019.0,https://doi.org/10.1039/c9ee00317g,10.1039/c9ee00317g,Figure 6(a),y=0.05,Bi0.05Ge0.99Te,,GeTe,GeTe,BiGeTe,Bi0.05Ge0.99Te,
tematdb,v1.1.6,teMatDb272,385,2016.0,https://doi.org/10.1039/c5ee02600h,10.1039/c5ee02600h,Figure 1,Ge0.25Sb0.02,Mg2Sn0.73Ge0.25Sb0.02,,Silicide,Mg2Sn,MgSnGeSb,Mg2Sn0.73Ge0.25Sb0.02,
tematdb,v1.1.6,teMatDb272,387,2015.0,https://doi.org/10.1039/c4ee01463d,10.1039/c4ee01463d,Figure 9(a),x=3,Sn0.98Bi0.02Te - 3% HgTe,,Telluride,SnTe,SnBiTeHg,Sn0.98Bi0.02Te + 3% HgTe,
