SID,sample_id,is_extendable_tep,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval
16,25127,True,1.0,True,296.616,673.094,296.255,672.992,298.0,672.0,298.0,672.0,298.0,672.0,374.0,374.0,374.0,0.4681478723685896,0.46910127497344056,0.6452031140631039,0.6380735126324009,0.0,-0.0009534026048509392,0.00712960143070307,0.00882565421644843,0.004113473613600347,0.003265466411191339,True,True,True,True,0.0188522788148008,0.018813963396173073,0.013678877277683505,0.013831720078831981
16,25129,True,0.9894179894179894,True,296.649,671.844,295.816,672.327,298.0,670.0,296.0,672.0,298.0,670.0,372.0,376.0,372.0,0.5867323609626529,0.5831827300168743,0.8983519200609755,0.8794189010364664,0.0,0.003549630945778648,0.018933019024509168,0.019201299741895883,0.009688323681117402,0.007842846254519836,True,True,True,True,0.03272582359424027,0.0329250143284255,0.02137391740710322,0.021834076705953893
16,25137,True,1.0,True,297.309,673.094,296.35,673.415,298.0,672.0,298.0,672.0,298.0,672.0,374.0,374.0,374.0,0.677801056645722,0.6752453790007272,0.9753098817249783,0.9631227528497696,0.0,0.0025556776449947582,0.012187128875208786,0.014923228179589132,0.005946864446645636,0.004695145986620629,True,True,True,True,0.0220171214448096,0.02210045213737488,0.015301011974978884,0.015494627383096303
20,3124,True,0.9805194805194806,True,313.683,619.106,311.9237,615.5938,314.0,618.0,312.0,614.0,314.0,614.0,304.0,302.0,300.0,0.21641287192286865,0.25513879460190586,0.3205930471457039,0.3874141256644492,-3.0,-0.03872592267903721,-0.0668210785187453,0.07755956027121841,0.04056690042515239,0.03659073007655643,True,True,True,True,0.3583870015775276,0.30398967899897356,0.24192527243414905,0.20019807005796952
20,3126,True,0.845679012345679,True,308.4544,588.3846,314.069,633.287,310.0,588.0,316.0,632.0,316.0,588.0,278.0,316.0,272.0,0.119937527939023,0.055594517572978334,0.3601572998204668,0.32134022583997535,25.0,0.06434301036604467,0.038817073980491446,0.14184368205615558,0.054879920930457196,0.03012284365931012,True,True,True,True,1.1826463701025238,2.5513969407137833,0.3938381427416926,0.44141277888686276
23,11292,True,0.9782608695652174,True,303.8056,484.1098,300.5894,483.4768,304.0,484.0,302.0,482.0,304.0,482.0,180.0,180.0,178.0,0.5708992865907894,0.5565119830838968,0.6519338123875585,0.6468583351290315,-2.0,0.014387303506892546,0.0050754772585270835,0.02931384654708108,0.018024009503518547,0.016874386294357762,True,True,True,True,0.05134679134411449,0.052674241414603785,0.04496445189692772,0.045317258749141304
23,11293,True,0.978021978021978,True,306.1614,484.5191,303.6021,484.4795,308.0,484.0,304.0,484.0,308.0,484.0,176.0,180.0,176.0,0.6360966106366573,0.6246990222550713,0.7127366895128703,0.7024105786808024,-2.0,0.011397588381585999,0.010326110832067914,0.025265594013753723,0.015996684433437942,0.01479413414567331,True,True,True,True,0.039719743182510994,0.040444427017908006,0.0354487069145014,0.035969836987940935
23,11294,True,0.9574468085106383,True,304.0772,485.9701,297.918,485.605,306.0,484.0,298.0,484.0,306.0,484.0,178.0,186.0,178.0,0.04962710084603206,0.04825549142783644,0.07066183294790711,0.07036541533546267,-4.0,0.0013716094181956198,0.00029641761244443565,0.00548161434301344,0.002565697326737294,0.0020748218764158584,True,True,True,True,0.1104560663340003,0.11359565887357934,0.077575320570223,0.07790211024663452
27,542,True,1.0,True,330.6842,942.1586,331.8021,943.824,332.0,942.0,332.0,942.0,332.0,942.0,610.0,610.0,610.0,0.06806725811807894,0.052770229341039095,0.14265652540088647,0.11283399245219101,0.0,0.015297028777039846,0.029822532948695454,0.029822532948695454,0.018652683596944247,0.015643084924764357,True,True,True,True,0.4381333077492432,0.565139346959454,0.20905130602956729,0.26430450877940515
27,543,True,0.9902912621359223,True,330.8315,943.3083,329.252,947.6491,332.0,942.0,330.0,946.0,332.0,942.0,610.0,616.0,610.0,0.08671613664591211,0.08494087338765861,0.18164137091337954,0.18504680703136345,1.0,0.001775263258253501,-0.003405436117983912,0.01007413303959745,0.005097776723278048,0.004293766405007035,True,True,True,True,0.11617368380620026,0.11860171243613747,0.05546166596816517,0.05444099901648123
